terDate,opType,strike price,option price
20150320,put,15.0,9.7867179963705859e-09
20150320,put,16.0,3.6325419023585853e-07
20150320,put,18.0,7.639062809058851e-05
20150320,put,19.0,0.00057746451374074057
20150320,put,20.0,0.0030596500184336423
20150320,put,21.0,0.013060676245928219
20150320,put,22.0,0.041849964937799349
20150320,put,23.0,0.1136019753043295
20150320,put,24.0,0.25774564177442444
20150320,put,25.0,0.50647277601371621
20150320,put,26.0,0.88537267682497467
20150320,put,27.0,1.4046909519551112
20150320,put,28.0,2.0568312590497917
20150320,put,29.0,2.8207176450788012
20150320,put,30.0,3.6696609789588552
20150320,put,31.0,4.5798043461938622
20150320,put,32.0,5.5290513505741883
20150320,put,33.0,6.4999793185178305
20150320,put,34.0,7.4842697437628178
20150320,put,35.0,8.4748829594833452